CalYear,FinYear,TypeOfIncident,PropertyType,PropertyCategory,IsBariatric,SpecialServiceTypeCategory,SpecialServiceType,WardCode,WardName,BoroughCode,BoroughName,StnGroundName,Postcode,PumpCount,PumpMinutesRounded,Notional Cost (£)
2023,2022/23,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013720,DOWNHAM,E09000023,LEWISHAM,Bromley,BR1,1,67,406
2022,2022/23,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011467,CRYSTAL PALACE & UPPER NORWOOD,E09000008,CROYDON,West Norwood,SE19,2,88,534
2022,2022/23,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013816,HILLSIDE,E09000024,MERTON,Wimbledon,SW19,1,60,364
2024,2024/25,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011462,ADDISCOMBE EAST,E09000008,CROYDON,Woodside,CR0,1,60,430
2023,2023/24,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Medical Incident,Medical incident - Lift person ,E05011463,ADDISCOMBE WEST,E09000008,CROYDON,Croydon,CR0,2,87,563
2021,2021/22,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,E05013806,St. James's,E09000033,WESTMINSTER,Soho,SW1Y,1,108,634
2023,2022/23,Special Service,House - single occupancy ,Dwelling,1,Effecting entry/exit,Effecting entry/exit - To medical case,E05013989,BIGGIN HILL,E09000006,BROMLEY,Biggin Hill,TN16,1,60,364
2020,2020/21,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014078,Eltham Park & Progress,E09000011,GREENWICH,Eltham,SE9,1,161,928
2022,2022/23,Special Service,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013888,GROVE GREEN,E09000031,WALTHAM FOREST,Leyton,E10,1,60,364
2022,2022/23,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013694,UPPER EDMONTON,E09000010,ENFIELD,Edmonton,N18,1,60,364
2013,2013/14,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011248,Mayfield,E09000026,Redbridge,Ilford,IG1,1,60,290
